Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio,Legal_status_Sale contract,Legal_status_Unknown,Furniture_state_Full,Furniture_state_Unknown,Price_log
56.0,4.8,3.5,6.0,4.0,4.0,5.3,0,0,0,0,0,11.2,11.2,0.08421052631578947,False,False,False,True,1.840549633397487
90.0,5.0,7.5,4.0,4.0,5.0,3.85,0,0,0,0,0,18.0,15.0,0.054945054945054944,False,False,False,True,1.5789787049493917
55.0,4.0,5.0,5.0,5.5,5.0,8.3,0,0,0,0,0,8.461538461538462,9.166666666666666,0.07142857142857142,False,False,True,False,2.2300144001592104
50.0,6.5,5.5,2.0,2.0,2.0,3.9,0,1,0,0,0,16.666666666666668,16.666666666666668,0.12745098039215685,False,False,False,True,1.589235205116581
65.0,4.5,7.5,4.0,4.0,5.0,4.2,1,0,0,0,0,13.0,10.833333333333334,0.06818181818181818,False,True,False,True,1.6486586255873816
60.0,4.5,5.5,3.0,3.0,3.0,4.3,1,1,1,1,1,15.0,15.0,0.07377049180327869,False,False,False,True,1.667706820558076
100.0,5.0,7.5,3.0,3.0,4.0,3.95,0,0,0,0,0,25.0,20.0,0.04950495049504951,True,False,False,True,1.599387576580599
33.0,4.5,5.5,3.0,1.5,1.5,1.4,1,1,1,0,0,13.2,13.2,0.1323529411764706,True,False,False,True,0.8754687373538999
60.0,4.5,3.5,3.0,3.0,3.0,4.7,1,0,0,0,0,15.0,15.0,0.07377049180327869,False,False,False,True,1.7404661748405046
70.0,4.5,5.5,5.0,5.0,4.0,6.9,1,1,0,0,0,11.666666666666666,14.0,0.06338028169014084,False,True,False,True,2.066862759472976
40.0,4.5,5.0,4.0,5.0,4.0,9.1,1,0,0,0,0,6.666666666666667,8.0,0.10975609756097561,False,False,True,False,2.312535423847214
40.0,4.5,5.5,5.0,5.5,3.0,6.25,1,1,0,0,0,6.153846153846154,10.0,0.10975609756097561,False,True,False,True,1.9810014688665833
66.0,4.0,7.5,4.0,5.0,3.0,8.95,0,0,0,0,0,11.0,16.5,0.05970149253731343,False,False,False,True,2.2975725511705014
35.0,4.5,5.5,4.0,4.0,3.0,6.25,1,1,0,0,0,7.0,8.75,0.125,False,False,True,False,1.9810014688665833
74.0,4.5,5.5,2.0,4.0,3.0,6.83,1,1,0,0,0,14.8,18.5,0.06,False,False,True,False,2.057962510002712
45.0,4.5,5.5,2.0,2.0,2.0,4.4,1,1,0,0,0,15.0,15.0,0.09782608695652174,False,False,False,True,1.6863989535702288
70.0,4.5,5.5,3.0,3.0,3.0,6.8,1,1,1,1,1,17.5,17.5,0.06338028169014084,False,False,False,False,2.0541237336955462
45.0,4.5,7.5,3.0,3.0,3.0,7.0,1,0,1,1,1,11.25,11.25,0.09782608695652174,True,False,False,False,2.0794415416798357
48.0,4.5,3.5,4.0,5.0,3.0,6.4,1,0,0,0,1,8.0,12.0,0.09183673469387756,False,False,False,False,2.0014800002101243
56.1,4.2,5.5,4.0,4.0,3.0,6.3,0,1,0,0,0,11.22,14.025,0.07355516637478109,False,False,False,True,1.9878743481543455
40.0,4.5,5.5,5.0,3.0,3.0,7.48,1,1,0,1,1,10.0,10.0,0.10975609756097561,False,True,False,True,2.1377104498038118
36.5,3.6,4.0,6.0,3.0,4.0,4.1,0,0,0,0,0,9.125,7.3,0.096,False,False,False,False,1.62924053973028
36.0,4.5,5.5,4.0,3.0,3.0,7.49,1,1,0,1,1,9.0,9.0,0.12162162162162163,False,False,False,True,2.138889000323256
64.0,4.0,6.0,5.0,4.0,5.0,6.7,0,0,0,0,0,12.8,10.666666666666666,0.06153846153846154,False,False,False,False,2.0412203288596382
12.0,3.0,3.5,5.0,3.0,4.0,1.8,0,0,0,0,0,3.0,2.4,0.23076923076923078,False,True,False,True,1.0296194171811581
53.0,4.3,7.5,5.0,5.5,5.0,6.39,0,0,0,0,0,8.153846153846153,8.833333333333334,0.07962962962962962,False,False,False,False,2.0001277349601105
96.0,5.5,5.5,2.0,5.0,5.0,8.5,0,1,0,0,0,16.0,16.0,0.05670103092783505,False,False,True,False,2.2512917986064953
31.0,6.2,6.0,3.0,4.0,3.0,6.8,0,0,0,0,0,6.2,7.75,0.19375,False,False,True,False,2.0541237336955462
56.0,3.85,3.5,4.0,4.0,5.0,8.5,0,0,0,0,0,11.2,9.333333333333334,0.06754385964912281,False,False,True,False,2.2512917986064953
116.8,4.5,5.5,3.0,3.0,2.0,7.3,1,1,1,0,0,29.2,38.93333333333333,0.038200339558573854,False,False,False,True,2.1162555148025524
56.0,5.0,7.5,5.0,3.0,3.0,7.6,0,0,0,1,1,14.0,14.0,0.08771929824561403,False,True,False,True,2.151762203259462
64.0,4.0,6.0,5.0,5.5,5.5,5.98,0,0,0,0,0,9.846153846153847,9.846153846153847,0.06153846153846154,False,False,True,False,1.9430489167742813
65.0,5.5,7.0,3.0,3.0,3.0,4.7,0,0,0,0,0,16.25,16.25,0.08333333333333333,False,False,True,False,1.7404661748405046
50.0,4.5,5.5,4.0,4.0,4.0,7.0,1,1,0,0,0,10.0,10.0,0.08823529411764706,False,True,False,True,2.0794415416798357
100.0,5.0,5.5,3.0,3.0,3.0,2.15,0,1,1,1,1,25.0,25.0,0.04950495049504951,False,True,False,True,1.1474024528375417
70.0,6.5,5.5,3.0,3.0,3.0,9.6,0,1,1,1,1,17.5,17.5,0.09154929577464789,False,True,False,True,2.3608540011180215
